mse,real_bit_rate,prior_bit_rate,whole_code_size,num_planes,lr,tau,reconst_ld
-19.999798442654626,1.6975613,1.9966182310044767,4,2,0.001,1,50
-19.990184021943865,0.9796218,1.9726956993699074,4,2,0.001,1,50
-19.997019745416754,0.0,1.9779481887817383,4,2,0.001,1,50
-24.594303036048025,2.9002357,2.9880817215383053,8,3,0.001,1,50
-24.41716637420572,2.9874578,2.995654452389479,8,3,0.001,1,50
-21.662672513553435,1.8074015,2.9849052970826624,8,3,0.001,1,50
-20.006462935202435,2.0949311,3.160610788798332,9,2,0.001,1,50
-22.156234357564895,1.63864,3.132775878620148,9,2,0.001,1,50
-23.010206591283485,3.000328,3.1654231765627863,9,2,0.001,1,50
-26.90600249488719,4.5296364,4.721305480003357,27,3,0.001,1,50
-27.771309041123335,4.270558,4.71693630592823,27,3,0.001,1,50
-27.518686470850895,4.2480865,4.664259121930599,27,3,0.001,1,50
-23.739632308023513,2.8017206,3.9215015348553655,16,2,0.001,1,50
-23.826597419485005,3.28077,3.9499709052562713,16,2,0.001,1,50
-23.821124842602096,2.3951304,3.940538774621487,16,2,0.001,1,50
-28.499968493377125,5.387108,5.940123515188694,64,3,0.001,1,50
-28.638458040773752,5.538768,5.879501316142083,64,3,0.001,1,50
-28.29408117036745,4.682775,5.8663853165388105,64,3,0.001,1,50
-23.797460223357064,1.9941676,1.9945758318901063,4,2,0.001,1,100
-23.841470450215404,1.9983796,1.9978759252965452,4,2,0.001,1,100
-23.78442485834041,1.9945053,1.9950158867955208,4,2,0.001,1,100
-26.503210925642993,2.9795172,2.958006511580944,8,3,0.001,1,100
-26.0297456117851,2.9450767,2.94554282527566,8,3,0.001,1,100
-25.503323998208607,2.9541306,2.955566148006916,8,3,0.001,1,100
-26.358076278995924,3.1606655,3.161306367826462,9,2,0.001,1,100
-26.53272939618015,3.149413,3.146033762955666,9,2,0.001,1,100
-25.530682903961118,3.1164784,3.1204109550237655,9,2,0.001,1,100
-25.144220652421616,4.2896914,4.657216142249108,27,3,0.001,1,100
-27.137540017694583,4.6568704,4.5817701753735545,27,3,0.001,1,100
-28.95638406949307,4.608574,4.4948798053264625,27,3,0.001,1,100
-28.37395051473152,3.98331,3.975368589949608,16,2,0.001,1,100
-27.801950046623922,3.9827156,3.956966848087311,16,2,0.001,1,100
-23.394746610984832,3.8176198,3.955197843384743,16,2,0.001,1,100
-27.951767171197567,5.628929,5.874827465820313,64,3,0.001,1,100
-26.89221254219174,5.4587073,5.8265893414020535,64,3,0.001,1,100
-27.109326896414885,5.2526674,5.709410316181183,64,3,0.001,1,100
-22.227552103384642,1.9975157,1.993887848120928,4,2,0.001,1,400
-21.629231058624505,1.8076849,1.8140528435051442,4,2,0.001,1,400
-21.283072272766617,1.6696011,1.6095505435824395,4,2,0.001,1,400
-22.4687773646812,2.7923336,2.724192654341459,8,3,0.001,1,400
-21.553531964700344,2.9646096,2.2039140033483506,8,3,0.001,1,400
-21.945187985707655,2.9039488,2.708302095580101,8,3,0.001,1,400
-22.285524982333435,3.0476608,2.9056237627983093,9,2,0.001,1,400
-22.899195663197013,2.8305,2.663315834403038,9,2,0.001,1,400
-21.63498593217984,3.1256938,2.4594457570195196,9,2,0.001,1,400
-24.274177274042252,4.646045,3.7498663293063643,27,3,0.001,1,400
-23.749642608009296,4.547342,3.663697125297785,27,3,0.001,1,400
-24.401911337108423,4.5511217,3.960105357706547,27,3,0.001,1,400
-23.200378994520868,3.875635,3.436586354660988,16,2,0.001,1,400
-24.48866447016616,3.8878438,3.606156905770302,16,2,0.001,1,400
-23.498633596654486,3.73546,3.1510942831873896,16,2,0.001,1,400
-27.551530721400155,5.6202374,4.967242917323112,64,3,0.001,1,400
-26.186530131736774,5.476314,4.41460913285017,64,3,0.001,1,400
-28.26674573900825,5.8721642,4.893228358137608,64,3,0.001,1,400
