mse,real_bit_rate,prior_bit_rate,whole_code_size,num_planes,lr,tau,reconst_ld
-19.99708137468343,0.9974798,0.9964246141254902,2,1,0.001,1,50
-20.00152384377445,0.0,0.9861458625912667,2,1,0.001,1,50
-19.997519427220126,0.9240087,0.9984696948170662,2,1,0.001,1,50
-20.001260652046433,1.5809886,1.574377085673809,3,1,0.001,1,50
-20.002469703483854,0.3456632,1.5725709683537483,3,1,0.001,1,50
-20.002452857624803,1.0592502,1.5778502218842507,3,1,0.001,1,50
-19.998651804300287,0.5364666,1.9818762862563133,4,1,0.001,1,50
-20.00523203229907,1.6762433,1.990422685444355,4,1,0.001,1,50
-19.99826163668794,1.6949792,1.9918698127269745,4,1,0.001,1,50
-19.998797422076603,0.30104595,2.9196689594984053,8,1,0.001,1,50
-22.026564455153892,2.394275,1.6534995956778527,8,1,0.001,1,50
-20.00454511791308,1.137392,2.9742559610128403,8,1,0.001,1,50
-20.012911037774487,2.3688676,3.8401457885980608,16,1,0.001,1,50
-20.004560712226272,1.823979,3.8631914692163467,16,1,0.001,1,50
-20.01363454601893,1.6799424,3.815929690527916,16,1,0.001,1,50
-19.999936972573636,0.2513764,0.9917869099140167,2,1,0.001,1,100
-21.590042416877466,0.9996115,0.5071629228174687,2,1,0.001,1,100
-21.399223509472904,0.9942908,0.48506340408325194,2,1,0.001,1,100
-22.78946996295374,1.5842103,0.7709213896274567,3,1,0.001,1,100
-23.060954016951428,1.5813513,0.7968556616604329,3,1,0.001,1,100
-20.000057663884956,1.0367912,1.5793226175904274,3,1,0.001,1,100
-23.833142251619496,1.9830323,1.0212613483667374,4,1,0.001,1,100
-23.509113445423623,1.9932837,0.9390096508741379,4,1,0.001,1,100
-23.66854991254342,1.9731005,0.9185906221807003,4,1,0.001,1,100
-25.497209985116474,2.9701364,1.524624664413929,8,1,0.001,1,100
-25.71996564682901,2.985023,1.5239653787374496,8,1,0.001,1,100
-25.558847373191934,2.9801722,1.488527655351162,8,1,0.001,1,100
-26.800462069981947,3.9372268,1.9365408335447312,16,1,0.001,1,100
-26.530885565586463,3.8135664,1.8919759576916695,16,1,0.001,1,100
-26.765460942449238,3.9016576,1.8631844497203827,16,1,0.001,1,100
-20.9033284635938,0.9993622,0.2816838066190481,2,1,0.001,1,400
-20.897761979460068,0.9999391,0.2815623694434762,2,1,0.001,1,400
-20.612804274196478,0.82100344,0.19829814571887255,2,1,0.001,1,400
-21.290819547180515,1.452238,0.3824843540251255,3,1,0.001,1,400
-20.966604385684875,1.1960269,0.29657081505954264,3,1,0.001,1,400
-20.96040581344617,1.2054054,0.2955728877902031,3,1,0.001,1,400
-22.905152505604562,2.897796,0.7533154330134392,8,1,0.001,1,400
-22.90642272813505,2.874298,0.7501586783528328,8,1,0.001,1,400
-22.595819262979518,2.80685,0.6851341785371303,8,1,0.001,1,400
-24.887354860241196,3.9442632,1.1385005365729333,16,1,0.001,1,400
-24.63916270514102,3.9845216,1.0950987837195396,16,1,0.001,1,400
-25.157212991328496,3.9418857,1.190680814242363,16,1,0.001,1,400
-22.291044727290277,2.941038,0.6192216882646084,8,1,0.001,1,1000
-22.285149237321143,2.9386995,0.618988118815422,8,1,0.001,1,1000
-22.290632500851423,2.9411192,0.6180006559491158,8,1,0.001,1,1000
-24.379987950575945,3.892264,1.0489979945540429,16,1,0.001,1,1000
-24.641610854187896,3.9828277,1.093868040460348,16,1,0.001,1,1000
-21.25766863117309,1.9084202,0.37372463040351867,4,1,0.001,1,400
-24.364004432704007,3.890849,1.0411595576047898,16,1,0.001,1,1000
-21.85527749807308,1.918996,0.5279773605585099,4,1,0.001,1,400
-21.84856258967047,1.9300894,0.5229737064212561,4,1,0.001,1,400
-24.309869648936903,2.9666696,1.202662326002121,8,1,0.001,5,400
-24.634983495175476,2.9030569,1.2621296050071715,8,1,0.001,5,400
-24.479753419868345,2.994336,1.0856344265401363,8,1,0.001,5,400
-25.65020376749509,3.7615223,1.4236955033898353,16,1,0.001,5,400
-25.842412167974157,3.7780817,1.4711814950346946,16,1,0.001,5,400
-26.33205514610919,3.791401,1.5089230686306954,16,1,0.001,5,400
-22.510401509137342,2.9380949,0.6656438184082508,8,1,0.001,5,1000
-22.260529965363588,2.9603052,0.6085198316931725,8,1,0.001,5,1000
-23.301790314996637,2.936203,0.9361923541605472,8,1,0.001,5,1000
-24.88376736670493,3.9494753,1.143700231206417,16,1,0.001,5,1000
-25.23782467926914,3.912537,1.2250167396306992,16,1,0.001,5,1000
-25.095288050507524,3.9198515,1.3311561505317688,16,1,0.001,5,1000
-22.27946161933447,2.9425447,0.6238789109170437,8,1,0.01,1,400
-23.78938505154685,2.9316745,0.9389482143759728,8,1,0.01,1,400
-23.515582852623645,2.911515,0.889052300721407,8,1,0.01,1,400
-24.62043676576628,3.9815392,1.0962532163143157,16,1,0.01,1,400
-25.149141797224882,3.8639648,1.2073863363146782,16,1,0.01,1,400
-24.335730367148546,3.604067,1.053186398255825,16,1,0.01,1,400
