mse,real_bit_rate,prior_bit_rate,whole_code_size,num_planes,lr,tau,reconst_ld
-20.00354991014863,0.9282364,0.9962001057505607,2,1,0.001,1,50
-20.002036570107514,0.6848106,0.9957279729068279,2,1,0.001,1,50
-19.995993972536045,0.34621146,0.9926235812544822,2,1,0.001,1,50
-19.996387028761852,0.9002529,1.5591734929442407,3,1,0.001,1,50
-19.996721588348155,0.9126296,1.57815668361187,3,1,0.001,1,50
-20.002101448635578,0.11573526,1.536920389842987,3,1,0.001,1,50
-20.000502408683904,0.1223859,1.9296306053876877,4,1,0.001,1,50
-20.00725591423505,1.5398216,1.9957275638699532,4,1,0.001,1,50
-19.986624470974846,0.8775928,1.9583108605504036,4,1,0.001,1,50
-20.003799317820324,0.4830235,2.8030881954431535,8,1,0.001,1,50
-19.999898214653168,0.9071486,2.915948873567581,8,1,0.001,1,50
-19.995702941632686,1.0598034,2.9247856986284257,8,1,0.001,1,50
-20.009706011468168,1.3121284,3.653504398751259,16,1,0.001,1,50
-26.661713698305988,3.9100275,3.9906555066108704,16,1,0.001,1,50
-19.995473306621147,1.4860919,3.8359621777772905,16,1,0.001,1,50
-21.823543332700098,0.9993409,1.0003048221290112,2,1,0.001,1,100
-19.997068720723252,0.0,0.9696925282478333,2,1,0.001,1,100
-19.999956859670633,0.5582685,0.976016657090187,2,1,0.001,1,100
-23.055404332358556,1.5664402,1.5706469580292701,3,1,0.001,1,100
-22.947363842647952,1.5688869,1.5704272426605224,3,1,0.001,1,100
-22.967220201470123,1.5821456,1.5823637236714363,3,1,0.001,1,100
-24.005071791995665,1.989225,1.9896570639014244,4,1,0.001,1,100
-23.853565583859524,1.9820282,1.9841424436450004,4,1,0.001,1,100
-23.82166074999104,1.9898394,1.9915400709629059,4,1,0.001,1,100
-26.26806551629821,2.9733543,2.978754062151909,8,1,0.001,1,100
-26.529201546261376,2.9736085,2.977669680905342,8,1,0.001,1,100
-25.958705980376017,2.9726498,2.9832962120294573,8,1,0.001,1,100
-28.240323994102855,3.88354,3.948083623242378,16,1,0.001,1,100
-28.432429738553587,3.976168,3.995859343791008,16,1,0.001,1,100
-28.632149739507533,3.9772096,3.9916226100206376,16,1,0.001,1,100
-20.61293681645068,0.81088114,0.8175510967493057,2,1,0.001,1,400
-20.309363657653783,0.9998977,0.9999488757371903,2,1,0.001,1,400
-20.899818212992006,0.999991,0.9999976294159889,2,1,0.001,1,400
-21.62186591870195,1.5584649,1.5596451293587685,3,1,0.001,1,400
-20.95441464591985,1.2285388,1.2510947776317596,3,1,0.001,1,400
-21.493350205086937,1.509609,1.5137499213695527,3,1,0.001,1,400
-22.602771797471615,2.7450469,2.7875118374347685,8,1,0.001,1,400
-22.293974495564246,2.9196365,2.933269402885437,8,1,0.001,1,400
-23.198544040012898,2.8567998,2.893223443651199,8,1,0.001,1,400
-24.951198991198137,3.8846676,4.04907128136158,16,1,0.001,1,400
-24.889795413315067,3.941533,3.9949830187559128,16,1,0.001,1,400
-24.650742399207637,3.9806328,4.004313937830925,16,1,0.001,1,400
-22.59672093679246,2.796198,2.833278518652916,8,1,0.001,1,1000
-22.301096951942405,2.9166396,2.93529434633255,8,1,0.001,1,1000
-22.612701838983472,2.7540016,2.7937983073711394,8,1,0.001,1,1000
-23.80198279984477,3.6764948,3.6939993330955505,16,1,0.001,1,1000
-24.632451363791716,3.9810133,4.007257200860977,16,1,0.001,1,1000
-24.0755333870837,3.7868583,3.801340766310692,16,1,0.001,1,1000
-21.86073232723659,1.8708133,1.8855745572447777,4,1,0.001,1,400
-24.944898905665582,2.9740627,2.982506516456604,8,1,0.001,5,400
-21.854805278795112,1.9033618,1.914532598054409,4,1,0.001,1,400
-24.567332748932202,2.926255,2.958299240756035,8,1,0.001,5,400
-21.30879618362329,1.5994185,1.6289065048575402,4,1,0.001,1,400
-25.1607407187548,2.9443636,2.9623509562015533,8,1,0.001,5,400
-27.671987482631557,3.9509804,4.005438180732727,16,1,0.001,5,400
-27.3772918110792,3.8275127,4.179661615824699,16,1,0.001,5,400
-27.830500473001617,3.9645824,4.019310488343239,16,1,0.001,5,400
-23.285313027730563,2.8343034,2.9329716954469682,8,1,0.001,5,1000
-22.901449409259506,2.892515,2.943863421058655,8,1,0.001,5,1000
-22.946301320813202,2.813025,2.8987164544582367,8,1,0.001,5,1000
-25.367364020712948,3.8675215,4.073599082708359,16,1,0.001,5,1000
-25.50437473656713,3.8748016,4.0443802837371825,16,1,0.001,5,1000
-25.600717000162334,3.8505845,4.028973449897766,16,1,0.001,5,1000
-23.093988710946466,2.8781407,2.917319094967842,8,1,0.01,1,400
-23.89469828481043,2.969697,2.9791945648670195,8,1,0.01,1,400
-23.18971081397903,2.9214914,2.9533221553325655,8,1,0.01,1,400
-24.859910759435657,3.852949,3.898281886124611,16,1,0.01,1,400
-25.45888522486576,3.6596043,3.68184927110672,16,1,0.01,1,400
-23.177179273923613,3.0147707,3.051987538433075,16,1,0.01,1,400
-21.916303081875107,2.7287507,2.7492672545433043,8,1,0.01,1,1000
-21.907164052681004,2.1963372,2.216357261157036,8,1,0.01,1,1000
-22.188925715414026,2.943522,2.9575665400505065,8,1,0.01,1,1000
-23.5012431954925,3.5412583,3.5636940937280657,16,1,0.01,1,1000
-24.874667367141416,3.91997,3.9844844760417937,16,1,0.01,1,1000
